common_phrases_000	Здравейте.
common_phrases_001	Добро утро.
common_phrases_002	Добър ден.
common_phrases_003	Добър вечер.
common_phrases_004	Лека нощ.
common_phrases_005	Как сте?
common_phrases_006	Добре съм, благодаря.
common_phrases_007	Моля.
common_phrases_008	Благодаря.
common_phrases_009	Много благодаря.
common_phrases_010	Извинете.
common_phrases_011	Извинявай.
common_phrases_012	Да.
common_phrases_013	Не.
common_phrases_014	Може би.
common_phrases_015	Аз.
common_phrases_016	Ти.
common_phrases_017	Той.
common_phrases_018	Тя.
common_phrases_019	То.
common_phrases_020	Ние.
common_phrases_021	Вие.
common_phrases_022	Те.
common_phrases_023	Къде?
common_phrases_024	Кога?
common_phrases_025	Как?
common_phrases_026	Защо?
common_phrases_027	Колко?
common_phrases_028	Кой?
common_phrases_029	Как се казваш?
common_phrases_030	Казвам се...
common_phrases_031	Радвам се да ви видя.
common_phrases_032	Къде живеете?
common_phrases_033	Живея в...
common_phrases_034	Какво работите?
common_phrases_035	Работя като...
common_phrases_036	Колко часа е?
common_phrases_037	Къде е банката?
common_phrases_038	Къде е ресторантът?
common_phrases_039	Колко струва?
common_phrases_040	Имам нужда от помощ.
common_phrases_041	Моля ви, говорете по-бавно.
common_phrases_042	Аз не разбирам.
common_phrases_043	Можете ли да ми помогнете?
common_phrases_044	Къде е банкоматът?
common_phrases_045	Къде е гарата?
common_phrases_046	Къде е летището?
common_phrases_047	Колко време отнема да стигнем до...?
common_phrases_048	Може ли да получа сметка?
common_phrases_049	Къде се намира близкият магазин?
common_phrases_050	Обичам те.
common_phrases_051	Какво правиш?
common_phrases_052	Искам това.
common_phrases_053	Къде е тоалетната?
common_phrases_054	Колко струва билетът?
common_phrases_055	Къде мога да наема кола?
common_phrases_056	Имате ли безжичен интернет?
common_phrases_057	Какво е това?
common_phrases_058	Къде е пощата?
common_phrases_059	Какъв е твоят любим цвят?
common_phrases_060	Какъв вид музика слушаш?
common_phrases_061	Какво е времето днес?
common_phrases_062	Весела Коледа.
common_phrases_063	Честита Нова година.
common_phrases_064	Как да стигна до...?
common_phrases_065	Как се казва този град?
common_phrases_066	Какво е това ястие?
common_phrases_067	Къде мога да купя билети?
common_phrases_068	Как се казва този плаж?
